iter	Passed	Remaining
923	5840	480
924	5844	473
925	5847	467
926	5850	460
927	5852	454
928	5855	447
929	5857	440
930	5860	434
931	5862	427
932	5864	421
933	5866	414
934	5869	936	935	5871	937	936	5874	938	5892	382
939	5896	376
940	5900	369
941	5903	363
942	5906	357
943	5910	350
944	5912	344
945	5916	337
946	5919	331
947	5923	324
948	5927	318
949	5929	312
950	5933	305
951	5937	299
952	5940	292
953	5943	286
954	5946	280
955	5950	273
956	5953	267
957	5956	261
958	5958	254
959	5961	248
960	5964	242
961	5967	235
962	5969	229
963	5972	223
964	5975	216
965	5979	210
966	5982	204
967	5986	197
968	5989	191
969	5993	185
970	5996	179
971	6001	172
972	6004	166
973	6008	160
974	6011	154
975	6015	147
976	6018	141
977	6021	135
978	6024	129
979	6027	123
980	6030	116
981	6034	110
982	6037	104
983	6041	98
984	6043	92
985	6046	85
986	6048	79
987	6050	73
988	6053	67
989	6055	61
990	6057	55
991	6069	48
992	6073	42
993	6076	36
994	6079	30
995	6082	24
996	6086	18
997	6091	12
998	6094	6
999	6096	0
038	6
999	6040	0
28	0
